iter	Passed	Remaining
0	0	66
1	1	55
2	1	51
3	2	50
4	2	52
5	3	52
6	3	52
7	4	53
8	5	53
9	5	52
10	6	53
11	7	52
12	7	52
13	8	51
14	8	50
15	9	50
16	10	49
17	10	49
18	11	48
19	11	47
20	12	47
21	13	46
22	13	46
23	14	45
24	14	44
25	15	43
26	15	43
27	16	42
28	17	41
29	17	41
30	18	40
31	18	39
32	19	39
33	20	38
34	20	38
35	21	37
36	21	37
37	22	36
38	23	35
39	23	35
40	24	34
41	24	33
42	25	33
43	25	32
44	26	31
45	26	31
46	26	30
47	27	29
48	27	29
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	33	20
62	34	20
63	34	19
64	35	19
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	13
74	40	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	47	7
87	48	6
88	49	6
89	50	5
90	50	5
91	51	4
92	52	3
93	53	3
94	53	2
95	54	2
96	55	1
97	55	1
98	56	0
99	57	0
