iter	RMSE
0	41.02661496
1	39.81181353
2	38.50103749
3	37.24170044
4	35.99778935
5	34.77670654
6	33.63857303
7	32.47227715
8	31.54673251
9	30.54069189
10	29.5570555
11	28.62413377
12	27.63960507
13	26.79687443
14	25.88360495
15	25.02037851
16	24.2635313
17	23.53795214
18	22.86178902
19	22.12838536
20	21.42896145
21	20.74167997
22	20.15110308
23	19.48530136
24	18.86358491
25	18.2462579
26	17.62738999
27	17.0526474
28	16.52404893
29	16.0182666
30	15.54192505
31	15.06801027
32	14.60946074
33	14.18807724
34	13.78150348
35	13.38743761
36	12.97104248
37	12.5811382
38	12.21600913
39	11.85667565
40	11.48837869
41	11.15184745
42	10.82397015
43	10.49906154
44	10.1790187
45	9.866846508
46	9.557483082
47	9.277602422
48	9.021696189
49	8.755362884
50	8.512451013
51	8.272114701
52	8.076310336
53	7.849321331
54	7.639556625
55	7.419611181
56	7.226631103
57	7.017857264
58	6.83302591
59	6.659903051
60	6.482692788
61	6.302766563
62	6.128926691
63	5.969055032
64	5.801072319
65	5.640994276
66	5.493364446
67	5.354158664
68	5.228966765
69	5.08830002
70	4.962074919
71	4.830836092
72	4.707963971
73	4.588777194
74	4.475309733
75	4.366117175
76	4.257785518
77	4.150572062
78	4.06153267
79	3.956861803
80	3.85785984
81	3.768871473
82	3.690913482
83	3.601933886
84	3.524016252
85	3.450216644
86	3.379636801
87	3.311870092
88	3.241008378
89	3.173455446
90	3.10470763
91	3.045647712
92	2.981122946
93	2.925398272
94	2.86723164
95	2.811584715
96	2.758622473
97	2.708601457
98	2.662005008
99	2.613933228
100	2.566890265
101	2.52788774
102	2.485832328
103	2.441739731
104	2.402256273
105	2.362674895
106	2.32377764
107	2.293494567
108	2.258217146
109	2.224008646
110	2.188959654
111	2.156843162
112	2.129443525
113	2.102519256
114	2.074082523
115	2.060349841
116	2.031228625
117	2.008197669
118	1.982209309
119	1.958241593
120	1.934731354
121	1.911669013
122	1.900111064
123	1.877256733
124	1.855053383
125	1.849538876
126	1.842656924
127	1.824788192
128	1.806196327
129	1.787290176
130	1.775501034
131	1.75789999
132	1.747366105
133	1.729258672
134	1.713587312
135	1.705620147
136	1.691801018
137	1.686052707
138	1.668700349
139	1.659620174
140	1.653328882
141	1.64719308
142	1.64215325
143	1.628942824
144	1.620630068
145	1.606239989
146	1.598505175
147	1.585620994
148	1.579717282
149	1.575048385
150	1.570289955
151	1.564743392
152	1.55326066
153	1.539592242
154	1.53499087
155	1.527512648
156	1.521829986
157	1.518353679
158	1.514785476
159	1.511150785
160	1.498534225
161	1.486491399
162	1.482878358
163	1.478355121
164	1.473998942
165	1.468703637
166	1.457986214
167	1.446578659
168	1.440570172
169	1.432116246
170	1.428907995
171	1.422388561
172	1.411658666
173	1.40761126
174	1.405031038
175	1.401669192
176	1.397732718
177	1.395172629
178	1.392598463
179	1.388659096
180	1.380385595
181	1.376752091
182	1.374345355
183	1.363111071
184	1.355576818
185	1.353039714
186	1.347523807
187	1.343986081
188	1.341983265
189	1.339756404
190	1.336940013
191	1.334912802
192	1.325986948
193	1.318086186
194	1.315833361
195	1.306725673
196	1.30176459
197	1.299810092
198	1.297485998
199	1.295611054
200	1.293565524
201	1.291667172
202	1.290057793
203	1.288136118
204	1.286549108
205	1.280445475
206	1.271574517
207	1.270046037
208	1.264851747
209	1.26275834
210	1.260553185
211	1.258848215
212	1.25725756
213	1.25039246
214	1.249075181
215	1.24759657
216	1.241632555
217	1.240274837
218	1.238647248
219	1.237345534
220	1.236137742
221	1.230742209
222	1.229600749
223	1.221980467
224	1.220689802
225	1.213263257
226	1.212196852
227	1.205300273
228	1.204263441
229	1.203281482
230	1.196942582
231	1.195938908
232	1.190191137
233	1.188858215
234	1.187552178
235	1.182902924
236	1.181676527
237	1.180477337
238	1.174674912
239	1.172654055
240	1.171493136
241	1.169356768
242	1.16836391
243	1.162427105
244	1.161462659
245	1.156021882
246	1.15521114
247	1.154177143
248	1.153294609
249	1.152445395
250	1.147352366
251	1.143621172
252	1.142894086
253	1.137068569
254	1.135862979
255	1.135082381
256	1.130515625
257	1.12503987
258	1.124196298
259	1.11988897
260	1.119136955
261	1.112968434
262	1.112265871
263	1.111242245
264	1.110591752
265	1.109839162
266	1.105965097
267	1.105245581
268	1.101457254
269	1.100768448
270	1.100170538
271	1.095898639
272	1.09528515
273	1.090036288
274	1.085101358
275	1.084470119
276	1.080332981
277	1.079726618
278	1.075377143
279	1.074818805
280	1.070934995
281	1.070391761
282	1.067396819
283	1.064380686
284	1.061565825
285	1.060277405
286	1.057461635
287	1.055773718
288	1.050582733
289	1.048149585
290	1.047674957
291	1.047209987
292	1.044502363
293	1.044056123
294	1.040062143
295	1.039628605
296	1.034932396
297	1.033704476
298	1.033291615
299	1.029699747
300	1.026844435
301	1.023345413
302	1.022686198
303	1.021531897
304	1.02041961
305	1.018169286
306	1.017390102
307	1.016907548
308	1.014803742
309	1.01445397
310	1.009983882
311	1.006784108
312	1.004322365
313	1.003980116
314	1.002019385
315	0.9984717246
316	0.9964181986
317	0.9946852056
318	0.9918022458
319	0.9908545084
320	0.9885813448
321	0.9881191739
322	0.9847293397
323	0.9838442791
324	0.979993308
325	0.9759547423
326	0.9740458111
327	0.9734517832
328	0.9706815123
329	0.9700098381
330	0.9684610684
331	0.9663004073
332	0.964211371
333	0.9633104995
334	0.9629618517
335	0.9610917768
336	0.9596315357
337	0.9593879892
338	0.9587273422
339	0.9549374328
340	0.9532480171
341	0.9506869126
342	0.9488080386
343	0.9484477367
344	0.9465058618
345	0.943720052
346	0.9435099683
347	0.941571055
348	0.9398423281
349	0.9395701425
350	0.9390424059
351	0.9368677922
352	0.9336330751
353	0.9333761998
354	0.9304042482
355	0.9284969086
356	0.9269664748
357	0.9253912378
358	0.9219149032
359	0.9183468603
360	0.915201047
361	0.9136566075
362	0.9123581287
363	0.908662161
364	0.9080778333
365	0.905944488
366	0.9053846647
367	0.9021208548
368	0.9005933659
369	0.8978746006
370	0.8960452299
371	0.893448034
372	0.8902162011
373	0.8890580748
374	0.8875830313
375	0.8859988234
376	0.8833926828
377	0.8792405212
378	0.877473289
379	0.8754487429
380	0.8739646396
381	0.8724686413
382	0.8702143759
383	0.8667097628
384	0.8637501578
385	0.8620106231
386	0.8595700865
387	0.8586639235
388	0.8565105064
389	0.8556268356
390	0.8526314247
391	0.8511009583
392	0.8497292972
393	0.848312114
394	0.8461315382
395	0.8445929713
396	0.8434926173
397	0.8403592224
398	0.8378554423
399	0.8363449167
400	0.8335776642
401	0.8318291944
402	0.8305117968
403	0.8295012754
404	0.8273094146
405	0.8264686875
406	0.8237223145
407	0.8219104154
408	0.8194177723
409	0.8165373847
410	0.8149371735
411	0.81322919
412	0.8120825542
413	0.8108650787
414	0.81003417
415	0.8092220717
416	0.8083768816
417	0.8071509852
418	0.8054876731
419	0.804155942
420	0.8031253395
421	0.8010014013
422	0.7980332401
423	0.7972641304
424	0.7960839111
425	0.7948792525
426	0.7926828799
427	0.79124228
428	0.7898552668
429	0.7865362443
430	0.7853500124
431	0.7825748652
432	0.7814823262
433	0.7798772608
434	0.7782302575
435	0.7767260367
436	0.7756956959
437	0.7733252629
438	0.7707550914
439	0.7690331131
440	0.7675816086
441	0.7663919506
442	0.7660382585
443	0.7656622815
444	0.7629269736
445	0.761628741
446	0.7602342366
447	0.7586124393
448	0.7583375171
449	0.7580580516
450	0.7564219343
451	0.7544086115
452	0.7536652582
453	0.7516884728
454	0.7498527001
455	0.748805052
456	0.7467401533
457	0.7441548133
458	0.7419567387
459	0.7395150216
460	0.7380492122
461	0.7357742468
462	0.7348006342
463	0.7337158873
464	0.7328609451
465	0.7314341884
466	0.7298059147
467	0.727724626
468	0.7274022451
469	0.7255801443
470	0.7241635006
471	0.7231884996
472	0.7209137444
473	0.7204464405
474	0.7197976182
475	0.7172998985
476	0.7151577616
477	0.7143446273
478	0.7128448489
479	0.7125978291
480	0.7110425957
481	0.7091439407
482	0.7072910912
483	0.7056534496
484	0.70484338
485	0.704071071
486	0.7023547749
487	0.7008853694
488	0.698528585
489	0.6982589647
490	0.6978676133
491	0.6966879605
492	0.6948638575
493	0.6926398714
494	0.6904605639
495	0.688754194
496	0.6874807458
497	0.6860429764
498	0.6839572927
499	0.6834719838
500	0.6820830265
501	0.6798242907
502	0.6784833789
503	0.6777304323
504	0.6774574864
505	0.6753036106
506	0.6750931446
507	0.6728467479
508	0.6716612314
509	0.6714179065
510	0.6703988475
511	0.6692650429
512	0.6685781675
513	0.6671839655
514	0.6656104811
515	0.6633034514
516	0.6623783976
517	0.6611987678
518	0.6602573514
519	0.6590054839
520	0.6572582973
521	0.6559048183
522	0.6539736264
523	0.6529522504
524	0.652422778
525	0.6506870205
526	0.6486203593
527	0.6475554975
528	0.6470172245
529	0.6457067636
530	0.6441030969
531	0.6431976446
532	0.642004162
533	0.6414249997
534	0.6395546182
535	0.6378424036
536	0.6365301369
537	0.6355014189
538	0.6346578443
539	0.6344339219
540	0.633544653
541	0.6328607299
542	0.631189646
543	0.6303329641
544	0.6292330717
545	0.6279284914
546	0.6273386978
547	0.6262817543
548	0.6253024047
549	0.6246378494
550	0.6238819289
551	0.6228253359
552	0.6215575476
553	0.6209473113
554	0.6202360584
555	0.6195108686
556	0.6193576213
557	0.6178330008
558	0.616217447
559	0.6146834966
560	0.6135078623
561	0.6123585858
562	0.6109777241
563	0.6093377486
564	0.6075615068
565	0.605609298
566	0.6042354164
567	0.6033555606
568	0.6023904574
569	0.6010654213
570	0.5995401704
571	0.5989117408
572	0.5980381091
573	0.5974629782
574	0.5957303781
575	0.5947604435
576	0.5930357021
577	0.5922105812
578	0.5905387469
579	0.5892569511
580	0.5876794059
581	0.5863781149
582	0.5862190278
583	0.5845877469
584	0.5834755234
585	0.5824659093
586	0.581702305
587	0.5805562157
588	0.5797655841
589	0.5785096723
590	0.577500336
591	0.5759890046
592	0.5745711005
593	0.5741461248
594	0.5733881601
595	0.5732797588
596	0.5724444487
597	0.5723094936
598	0.5716367429
599	0.5701506599
600	0.5684289536
601	0.5677600345
602	0.5670348876
603	0.5656393125
604	0.5649767139
605	0.5639689183
606	0.5634309981
607	0.5620568337
608	0.5615819641
609	0.5604948278
610	0.5599900285
611	0.5594629342
612	0.5583073599
613	0.5568478049
614	0.5558027813
615	0.555056251
616	0.5539260027
617	0.5531493512
618	0.5529592766
619	0.5524926988
620	0.5515296661
621	0.5502578376
622	0.5489881536
623	0.5482153509
624	0.5479869847
625	0.5473728503
626	0.5468207557
627	0.545344381
628	0.5445557945
629	0.5432204694
630	0.541974606
631	0.5412215009
632	0.5406484845
633	0.5400881254
634	0.5393847302
635	0.5383561085
636	0.5368771658
637	0.5362615013
638	0.535616684
639	0.5342116667
640	0.5337837706
641	0.5330878157
642	0.5322234405
643	0.5310024419
644	0.5303291697
645	0.5295663716
646	0.5289592702
647	0.5275072498
648	0.5269265476
649	0.5257231114
650	0.5249816114
651	0.5238436838
652	0.5234890416
653	0.5229410782
654	0.5221589754
655	0.5210277909
656	0.5200906931
657	0.5199647128
658	0.5188986108
659	0.5175926715
660	0.5171842734
661	0.5166472706
662	0.5158611135
663	0.5151754878
664	0.5147320836
665	0.5134162995
666	0.5128360332
667	0.5126215725
668	0.5119436977
669	0.5109928485
670	0.509810423
671	0.5092741058
672	0.5081872273
673	0.507275377
674	0.5069045192
675	0.5062958407
676	0.5053408295
677	0.5046228137
678	0.5040016302
679	0.5032716002
680	0.5027290968
681	0.502064787
682	0.501292436
683	0.5008872029
684	0.4998912717
685	0.4991949273
686	0.498025962
687	0.4976957629
688	0.4973657223
689	0.4964559338
690	0.4958039548
691	0.4948480056
692	0.4941099817
693	0.4937356283
694	0.4933648009
695	0.4929765885
696	0.4926006776
697	0.492425912
698	0.4915335996
699	0.4906695802
700	0.4901605451
701	0.4895427995
702	0.4889835721
703	0.4880500969
704	0.4874520864
705	0.4869070108
706	0.4858254738
707	0.4856562264
708	0.4847300162
709	0.483929953
710	0.4835734717
711	0.4830158624
712	0.4824104023
713	0.4818663822
714	0.4808705329
715	0.4800994389
716	0.4789077181
717	0.4784641323
718	0.4774800069
719	0.476982085
720	0.4762473671
721	0.4755887401
722	0.4752292673
723	0.4749631989
724	0.4743613052
725	0.4734018474
726	0.4720145149
727	0.4714644209
728	0.4713858222
729	0.4710135033
730	0.4699635622
731	0.4692421181
732	0.468870024
733	0.4682546998
734	0.4671920218
735	0.4666007694
736	0.4658905742
737	0.4653298469
738	0.4647334397
739	0.4635006138
740	0.4624703901
741	0.4619159812
742	0.4608896219
743	0.4599945216
744	0.4594009481
745	0.4583039153
746	0.4577967837
747	0.4565521299
748	0.4562112809
749	0.4554166984
750	0.4551386929
751	0.4540918595
752	0.4534235056
753	0.4529961307
754	0.4525535243
755	0.4519639244
756	0.4514797495
757	0.4506835749
758	0.4504032473
759	0.4498832881
760	0.4495858113
761	0.4490033068
762	0.4482489957
763	0.4480871845
764	0.4470634449
765	0.4465048527
766	0.4457819684
767	0.4454388104
768	0.4450536349
769	0.4441275214
770	0.4438283326
771	0.4436709029
772	0.4428575463
773	0.4424256164
774	0.4421215382
775	0.4417239777
776	0.4409607724
777	0.4403109514
778	0.4400286381
779	0.4394549404
780	0.4388563152
781	0.4379087897
782	0.4368450674
783	0.4365002683
784	0.4363453701
785	0.435416143
786	0.4347949897
787	0.4343505702
788	0.4338570042
789	0.4334973261
790	0.4327246746
791	0.4326267637
792	0.4318167137
793	0.4310393261
794	0.4302198456
795	0.4294450383
796	0.4288751962
797	0.4287285769
798	0.4279280644
799	0.42715154
800	0.4267909363
801	0.425808761
802	0.4252416266
803	0.4248609846
804	0.4240248027
805	0.4233501481
806	0.4225543648
807	0.4220809694
808	0.42136381
809	0.420672355
810	0.4200147191
811	0.4195827963
812	0.4188284155
813	0.4184276013
814	0.417643053
815	0.4173902514
816	0.4166410647
817	0.4160292192
818	0.4152457268
819	0.4148032852
820	0.4143443994
821	0.4138535148
