iter	Passed	Remaining
0	2	2967
1	5	2813
2	7	2565
3	11	2739
4	13	2753
5	15	2628
6	17	2511
7	20	2510
8	21	2414
9	23	2317
10	24	2240
11	26	2171
12	27	2118
13	29	2051
14	30	1985
15	31	1927
16	33	1918
17	34	1875
18	35	1843
19	36	1805
20	39	1833
21	40	1809
22	42	1786
23	43	1758
24	44	1732
25	45	1705
26	46	1685
27	48	1667
28	49	1650
29	50	1632
30	51	1617
31	53	1609
32	54	1598
33	56	1592
34	57	1582
35	58	1572
36	59	1561
37	61	1550
38	62	1536
39	63	1523
40	64	1514
41	65	1504
42	67	1498
43	68	1489
44	70	1486
45	71	1489
46	73	1486
47	74	1477
48	75	1468
49	76	1459
50	78	1452
51	79	1443
52	80	1437
53	81	1431
54	82	1423
55	84	1418
56	85	1409
57	86	1404
58	87	1398
59	88	1392
60	90	1388
61	91	1384
62	92	1378
63	93	1373
64	95	1366
65	96	1359
66	97	1354
67	98	1353
68	99	1348
69	100	1341
70	102	1336
71	103	1330
72	104	1327
73	105	1324
74	106	1318
75	108	1313
76	109	1308
77	110	1304
78	111	1299
79	112	1294
80	113	1291
81	114	1286
82	116	1281
83	117	1278
84	118	1274
85	119	1271
86	121	1270
87	122	1267
88	123	1264
89	124	1262
90	126	1260
91	127	1257
92	128	1253
93	129	1250
94	130	1247
95	132	1244
96	133	1242
97	134	1239
98	135	1236
99	137	1241
100	139	1239
101	140	1239
102	142	1239
103	144	1243
104	145	1241
105	146	1239
106	148	1239
107	149	1237
108	151	1235
109	152	1232
110	153	1229
111	154	1227
112	157	1234
113	158	1232
114	159	1230
115	161	1227
116	162	1226
117	163	1224
118	164	1221
119	166	1219
120	167	1218
121	169	1219
122	170	1218
123	172	1217
124	173	1214
125	174	1208
126	175	1205
127	176	1202
128	177	1200
129	178	1197
130	180	1196
131	181	1195
132	183	1193
133	184	1191
134	185	1189
135	186	1186
136	187	1184
137	189	1181
138	190	1177
139	191	1175
140	192	1173
141	193	1170
142	194	1164
143	195	1161
144	196	1159
145	198	1159
146	200	1160
147	201	1159
148	202	1158
149	203	1152
150	204	1148
151	205	1145
152	206	1143
153	208	1145
154	209	1143
155	210	1141
156	212	1139
157	212	1133
158	213	1129
159	214	1128
160	216	1127
161	217	1125
162	218	1122
163	220	1121
164	221	1121
165	222	1119
166	224	1118
167	225	1116
168	226	1115
169	228	1114
170	229	1110
171	230	1108
172	231	1107
173	232	1105
174	233	1099
175	234	1097
176	235	1094
177	236	1092
178	237	1087
179	238	1086
180	239	1084
181	240	1082
182	241	1077
183	242	1076
184	244	1075
185	244	1070
186	246	1069
187	247	1069
188	248	1064
189	248	1061
190	250	1059
191	250	1055
192	252	1053
193	254	1055
194	254	1050
195	255	1049
196	257	1047
197	257	1043
198	258	1042
199	259	1039
200	260	1035
201	261	1031
202	261	1028
203	262	1025
204	263	1022
205	264	1021
206	266	1019
207	266	1016
208	268	1014
209	269	1012
210	270	1011
211	271	1009
212	272	1007
213	273	1006
214	274	1003
215	276	1001
216	277	1000
